JA Morkel:Eden Gardens:119:1:1.0
T Thushara:Vidarbha Cricket Association Stadium, Jamtha:117:-1:1.0
V Sehwag:Feroz Shah Kotla:6:-1:1.0
Shivam Sharma:M Chinnaswamy Stadium:118:-1:1.0
NK Patel:Kingsmead:56:-1:1.0
CK Kapugedera:Wankhede Stadium:53:-1:1.0
A Singh:Kingsmead:119:1:1.0
M Kartik:Wankhede Stadium:120:-1:1.0
RE Levi:Wankhede Stadium:50:-1:1.0
MJ Lumb:Wankhede Stadium:2:-1:1.0
Iqbal Abdulla:Eden Gardens:118:1:1.0
SK Warne:De Beers Diamond Oval:120:1:1.0
A Symonds:MA Chidambaram Stadium, Chepauk:107:1:1.0
MC Henriques:Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium:119:1:1.0
S Nadeem:Feroz Shah Kotla:120:-1:1.0
KW Richardson:Subrata Roy Sahara Stadium:105:-1:1.0
PC Valthaty:Punjab Cricket Association Stadium, Mohali:46:-1:1.0
Umar Gul:Eden Gardens:96:0:1.0
B Chipli:Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium:19:-1:1.0
J Theron:MA Chidambaram Stadium, Chepauk:115:-1:1.0
B Lee:New Wanderers Stadium:119:0:1.0
AM Nayar:Sawai Mansingh Stadium:99:-1:1.0
PP Ojha:Sawai Mansingh Stadium:120:0:1.0
JH Kallis:MA Chidambaram Stadium, Chepauk:93:-1:1.0
MM Patel:Dr DY Patil Sports Academy:96:0:1.0
A Mukund:Sawai Mansingh Stadium:48:-1:1.0
LRPL Taylor:Feroz Shah Kotla:86:-1:1.0
CH Gayle:Rajiv Gandhi International Stadium, Uppal:31:-1:1.0
AN Ghosh:SuperSport Park:26:-1:1.0
MDKJ Perera:Feroz Shah Kotla:18:-1:1.0
SP Narine:Eden Gardens:105:-1:1.0
BAW Mendis:M Chinnaswamy Stadium:118:1:1.0
CJ Anderson:Wankhede Stadium:58:-1:1.0
P Negi:Shaheed Veer Narayan Singh International Stadium:120:1:1.0
GR Napier:Buffalo Park:95:-1:1.0
L Balaji:Eden Gardens:119:1:1.0
J Suchith:Wankhede Stadium:120:2:1.0
SL Malinga:Dubai International Cricket Stadium:116:1:1.0
DJG Sammy:Rajiv Gandhi International Stadium, Uppal:98:-1:1.0
