RS Gavaskar:JM Kemp:75:-1:1.0
P Dogra:R Vinay Kumar:118:1:1.0
DP Nannes:Harbhajan Singh:99:-1:1.0
IR Jaggi:Iqbal Abdulla:15:-1:1.0
MS Dhoni:JH Kallis:67:1:1.0
AC Voges:Z Khan:86:-1:1.0
CA Lynn:AR Patel:67:-1:1.0
GH Vihari:PP Chawla:70:-1:1.0
K Upadhyay:L Balaji:116:1:1.0
RV Gomez:I Sharma:9:-1:1.0
Mohammad Asif:DS Kulkarni:109:-1:1.0
S Anirudha:Harbhajan Singh:96:-1:1.0
Z Khan:DE Bollinger:117:-1:1.0
A Kumble:RJ Harris:116:1:1.0
SE Bond:R Ashwin:85:-1:1.0
MC Juneja:K Cooper:108:-1:1.0
Jaskaran Singh:Harbhajan Singh:108:0:1.0
SW Tait:V Sehwag:106:-1:1.0
R Ashwin:SP Narine:27:-1:1.0
SA Abbott:YK Pathan:95:1:1.0
CL White:I Sharma:83:1:1.0
YK Pathan:CRD Fernando:31:-1:1.0
RS Sodhi:SL Malinga:114:0:1.0
AM Rahane:KV Sharma:52:-1:1.0
R Bishnoi:Harmeet Singh:99:-1:1.0
PA Reddy:M Muralitharan:50:-1:1.0
KM Jadhav:I Sharma:19:-1:1.0
D Salunkhe:JR Hopes:114:-1:1.0
M Vijay:SMSM Senanayake:44:-1:1.0
SP Goswami:MM Patel:10:-1:1.0
R Ninan:DT Christian:115:-1:1.0
AA Noffke:SC Ganguly:67:-1:1.0
VS Malik:BE Hendricks:120:1:1.0
Sohail Tanvir:Umar Gul:32:-1:1.0
TR Birt:P Kumar:106:-1:1.0
SB Bangar:A Kumble:119:1:1.0
AD Mascarenhas:MN Samuels:100:-1:1.0
S Tyagi:RP Singh:116:1:1.0
SB Wagh:KA Pollard:119:-1:1.0
NV Ojha:Imran Tahir:96:-1:1.0
FY Fazal:A Symonds:88:1:1.0
VS Yeligati:VRV Singh:120:-1:1.0
Mohammad Hafeez:PP Ojha:99:-1:1.0
Sunny Singh:S Randiv:84:-1:1.0
K Cooper:DW Steyn:118:-1:1.0
AS Raut:Harbhajan Singh:117:1:1.0
PP Chawla:SR Watson:104:-1:1.0
LA Pomersbach:RE van der Merwe:28:-1:1.0
SS Iyer:RA Jadeja:100:1:1.0
AP Dole:Harbhajan Singh:120:-1:1.0
AS Yadav:A Kumble:120:1:1.0
S Dhawan:JP Duminy:37:-1:1.0
HV Patel:MG Johnson:99:-1:1.0
DNT Zoysa:A Nehra:120:1:1.0
S Aravind:A Singh:118:1:1.0
L Ablish:S Aravind:114:0:1.0
RR Powar:RE van der Merwe:109:-1:1.0
TG Southee:RA Jadeja:86:-1:1.0
SE Marsh:J Botha:51:-1:1.0
CA Ingram:SL Malinga:7:-1:1.0
SC Ganguly:DP Nannes:17:-1:1.0
T Henderson:JD Ryder:51:-1:1.0
K Goel:RE van der Merwe:66:-1:1.0
MV Boucher:I Sharma:95:1:1.0
AD Mathews:UT Yadav:92:-1:1.0
A Mithun:A Mishra:117:-1:1.0
DJ Jacobs:DP Nannes:26:-1:1.0
R Vinay Kumar:DW Steyn:98:-1:1.0
DJ Hooda:RA Jadeja:85:-1:1.0
MN Samuels:VY Mahesh:76:-1:1.0
MK Tiwary:S Randiv:59:1:1.0
DP Vijaykumar:A Mishra:120:1:1.0
S Sohal:A Nehra:25:-1:1.0
AC Thomas:R Vinay Kumar:104:-1:1.0
MS Gony:Harbhajan Singh:84:-1:1.0
S Chanderpaul:I Sharma:21:-1:1.0
RJ Quiney:A Nehra:21:-1:1.0
DA Warner:JP Duminy:39:-1:1.0
EJG Morgan:JP Duminy:102:-1:1.0
P Parameswaran:A Ashish Reddy:120:0:1.0
KC Sangakkara:DL Vettori:115:4:1.0
AT Rayudu:A Mishra:68:-1:1.0
SR Tendulkar:SW Tait:106:1:1.0
M Rawat:JH Kallis:108:-1:1.0
Younis Khan:IK Pathan:29:-1:1.0
AB Barath:DL Vettori:112:1:1.0
MN van Wyk:GR Napier:89:-1:1.0
AUK Pathan:R Vinay Kumar:112:4:1.0
F du Plessis:Azhar Mahmood:33:-1:1.0
AD Russell:CH Morris:80:-1:1.0
AA Bilakhia:A Mishra:48:-1:1.0
Imran Tahir:STR Binny:88:-1:1.0
S Badrinath:JH Kallis:93:-1:1.0
PM Sarvesh Kumar:A Mishra:119:1:1.0
NL McCullum:DE Bollinger:116:-1:1.0
