YK Pathan:DJ Bravo:48:-1:1.0
D Kalyankrishna:IK Pathan:115:-1:1.0
AM Rahane:Azhar Mahmood:42:-1:1.0
R Bishnoi:YA Abdulla:28:-1:1.0
PA Reddy:A Chandila:5:-1:1.0
KM Jadhav:B Kumar:120:4:1.0
D Salunkhe:GD McGrath:120:0:1.0
Mashrafe Mortaza:A Symonds:120:0:1.0
M Vijay:JH Kallis:54:-1:1.0
SP Goswami:UT Yadav:120:1:1.0
VS Malik:Z Khan:114:-1:1.0
Sohail Tanvir:A Nehra:91:-1:1.0
TR Birt:RR Powar:112:-1:1.0
SB Bangar:SR Watson:98:-1:1.0
AD Mascarenhas:R Bhatia:101:-1:1.0
SB Wagh:SL Malinga:100:-1:1.0
NV Ojha:JA Morkel:3:-1:1.0
FY Fazal:AB Dinda:117:-1:1.0
Mohammad Hafeez:P Amarnath:88:-1:1.0
Sunny Singh:SW Tait:117:0:1.0
K Cooper:A Nehra:117:-1:1.0
AS Raut:SB Jakati:104:-1:1.0
PP Chawla:B Kumar:117:1:1.0
LA Pomersbach:A Symonds:16:1:1.0
SS Iyer:P Kumar:69:-1:1.0
AP Dole:RJ Harris:111:-1:1.0
AS Yadav:DW Steyn:118:-1:1.0
S Dhawan:SL Malinga:42:-1:1.0
HV Patel:DJ Bravo:115:1:1.0
DNT Zoysa:S Sreesanth:97:-1:1.0
S Aravind:DJ Bravo:120:0:1.0
DE Bollinger:RJ Harris:120:2:1.0
SE Marsh:SB Jakati:47:1:1.0
CA Ingram:MR Marsh:61:1:1.0
SC Ganguly:Harbhajan Singh:22:-1:1.0
A Flintoff:DW Steyn:119:1:1.0
K Goel:DJ Hussey:81:-1:1.0
MV Boucher:Yuvraj Singh:79:-1:1.0
AD Mathews:B Kumar:119:1:1.0
A Mithun:RJ Harris:120:1:1.0
DJ Jacobs:I Sharma:31:-1:1.0
R Vinay Kumar:JD Ryder:99:1:1.0
DJ Hooda:Iqbal Abdulla:68:-1:1.0
MN Samuels:SL Malinga:98:-1:1.0
MK Tiwary:R Ashwin:85:-1:1.0
S Sohal:S Nadeem:88:-1:1.0
BE Hendricks:JJ Bumrah:119:-1:1.0
AC Thomas:SL Malinga:102:0:1.0
MS Gony:NLTC Perera:120:0:1.0
S Chanderpaul:SR Watson:14:-1:1.0
RJ Quiney:CK Langeveldt:7:-1:1.0
DA Warner:TG Southee:26:1:1.0
EJG Morgan:DJ Bravo:46:-1:1.0
P Parameswaran:A Mithun:119:1:1.0
KC Sangakkara:MM Patel:75:-1:1.0
AT Rayudu:Jaskaran Singh:114:2:1.0
SR Tendulkar:SK Trivedi:77:-1:1.0
BCJ Cutting:R Shukla:117:0:1.0
M Rawat:A Nehra:95:-1:1.0
RR Rossouw:A Nehra:5:-1:1.0
MN van Wyk:IK Pathan:120:6:1.0
AUK Pathan:SL Malinga:105:-1:1.0
F du Plessis:JA Morkel:92:-1:1.0
AD Russell:Bipul Sharma:72:-1:1.0
AA Bilakhia:R Vinay Kumar:115:-1:1.0
Imran Tahir:AR Patel:108:-1:1.0
VH Zol:R Tewatia:49:-1:1.0
S Badrinath:L Balaji:120:-1:1.0
NL McCullum:SK Trivedi:120:2:1.0
M Ntini:Sohail Tanvir:114:-1:1.0
