1:0:0.643410852713
2:0:0.571705426357
3:0:0.538759689922
4:0:0.52519379845
5:0:0.53488372093
6:0:0.511627906977
7:0:0.52519379845
8:0:0.520388349515
9:0:0.512621359223
10:0:0.502912621359
11:0:0.506796116505
12:0:0.450485436893
13:0:0.514563106796
14:0:0.434951456311
15:0:0.458252427184
16:0:0.460194174757
17:0:0.446601941748
18:0:0.508737864078
19:0:0.477669902913
20:0:0.446601941748
21:0:0.38640776699
22:0:0.41359223301
23:0:0.442718446602
24:0:0.436893203883
25:0:0.473786407767
26:0:0.427184466019
27:0:0.398832684825
28:0:0.4046692607
29:0:0.392996108949
30:0:0.432748538012
31:0:0.444444444444
32:0:0.424951267057
33:0:0.450292397661
34:0:0.38671875
35:0:0.45703125
36:0:0.40313111546
37:1:0.409001956947
38:1:0.416829745597
39:1:0.446183953033
40:1:0.428571428571
41:1:0.426614481409
42:1:0.473581213307
43:1:0.436399217221
44:1:0.463796477495
45:1:0.437254901961
46:1:0.447058823529
47:1:0.454901960784
48:1:0.435294117647
49:1:0.422090729783
50:1:0.428007889546
51:1:0.439842209073
52:1:0.475345167653
53:1:0.429980276134
54:1:0.449704142012
55:1:0.459566074951
56:1:0.445759368836
57:1:0.448616600791
58:1:0.48023715415
59:1:0.431683168317
60:1:0.457425742574
61:1:0.433399602386
62:1:0.433399602386
63:1:0.445328031809
64:1:0.422310756972
65:1:0.453093812375
66:1:0.405189620758
67:1:0.481037924152
68:1:0.454
69:1:0.444
70:1:0.456
71:1:0.428
72:1:0.494
73:1:0.426853707415
74:1:0.451807228916
75:1:0.409274193548
76:1:0.407258064516
77:1:0.423387096774
78:1:0.480808080808
79:1:0.440162271805
80:1:0.40081799591
81:1:0.418032786885
82:1:0.441478439425
83:1:0.417695473251
84:1:0.453027139875
85:1:0.427974947808
86:1:0.437238493724
87:1:0.445378151261
88:1:0.40756302521
89:1:0.438818565401
90:1:0.451271186441
91:1:0.423076923077
92:1:0.423326133909
93:1:0.403930131004
94:1:0.447598253275
95:1:0.433920704846
96:1:0.431718061674
97:1:0.435555555556
98:1:0.402684563758
99:1:0.404494382022
100:1:0.447727272727
101:1:0.411494252874
102:1:0.424593967517
103:1:0.458823529412
104:1:0.3995215311
105:1:0.384057971014
106:1:0.347188264059
107:1:0.427860696517
108:1:0.436868686869
109:1:0.40826873385
110:1:0.374670184697
111:1:0.393442622951
112:1:0.416666666667
113:1:0.416909620991
114:1:0.4
115:1:0.343234323432
116:1:0.344947735192
117:1:0.30223880597
118:1:0.323886639676
119:1:0.324444444444
120:1:0.35175879397
