1:0:0.6138996139
2:0:0.596525096525
3:0:0.61583011583
4:0:0.590733590734
5:0:0.544401544402
6:0:0.534749034749
7:0:0.552123552124
8:0:0.555984555985
9:0:0.53667953668
10:0:0.505791505792
11:0:0.507722007722
12:0:0.523166023166
13:0:0.476833976834
14:0:0.496138996139
15:0:0.451737451737
16:0:0.442084942085
17:0:0.482625482625
18:0:0.449806949807
19:0:0.503861003861
20:0:0.480694980695
21:0:0.472972972973
22:0:0.467181467181
23:0:0.46138996139
24:0:0.42471042471
25:0:0.451737451737
26:0:0.492277992278
27:0:0.420849420849
28:0:0.420849420849
29:0:0.409266409266
30:0:0.46138996139
31:0:0.438223938224
32:0:0.409266409266
33:0:0.444015444015
34:0:0.405405405405
35:0:0.415057915058
36:0:0.388030888031
37:1:0.430501930502
38:1:0.438223938224
39:1:0.434362934363
40:1:0.444015444015
41:1:0.393822393822
42:1:0.436293436293
43:1:0.434362934363
44:1:0.451737451737
45:1:0.438223938224
46:1:0.420849420849
47:1:0.480694980695
48:1:0.471042471042
49:1:0.425531914894
50:1:0.454545454545
51:1:0.419729206963
52:1:0.454545454545
53:1:0.437137330754
54:1:0.497098646035
55:1:0.47001934236
56:1:0.491295938104
57:1:0.452611218569
58:1:0.454545454545
59:1:0.448742746615
60:1:0.462282398453
61:1:0.481553398058
62:1:0.443579766537
63:1:0.424124513619
64:1:0.408560311284
65:1:0.464980544747
66:1:0.453307392996
67:1:0.47265625
68:1:0.4453125
69:1:0.470703125
70:1:0.47265625
71:1:0.45703125
72:1:0.4765625
73:1:0.456862745098
74:1:0.456862745098
75:1:0.462745098039
76:1:0.439215686275
77:1:0.488235294118
78:1:0.429411764706
79:1:0.445972495088
80:1:0.4557956778
81:1:0.469548133595
82:1:0.481335952849
83:1:0.453831041257
84:1:0.434184675835
85:1:0.453831041257
86:1:0.426326129666
87:1:0.422396856582
88:1:0.420432220039
89:1:0.436149312377
90:1:0.426326129666
91:1:0.458661417323
92:1:0.427165354331
93:1:0.397233201581
94:1:0.438735177866
95:1:0.454545454545
96:1:0.470355731225
97:1:0.417821782178
98:1:0.405940594059
99:1:0.430555555556
100:1:0.418650793651
101:1:0.440476190476
102:1:0.420634920635
103:1:0.40438247012
104:1:0.406374501992
105:1:0.409181636727
106:1:0.403193612774
107:1:0.4
108:1:0.418
109:1:0.39156626506
110:1:0.386317907445
111:1:0.362903225806
112:1:0.390688259109
113:1:0.40243902439
114:1:0.360488798371
115:1:0.374233128834
116:1:0.338114754098
117:1:0.337448559671
118:1:0.327835051546
119:1:0.345114345114
120:1:0.229957805907
121:-1:1.0
